rated,turns,time_increment,white_rating,black_rating,opening_code,opening_moves,victory_status,winner
FALSE,13,15+2,1500,1191,D10,5,Out of Time,White
TRUE,16,5+10,1322,1261,B00,4,Resign,Black
TRUE,61,5+10,1496,1500,C20,3,Mate,White
TRUE,61,20+0,1439,1454,D02,3,Mate,White
TRUE,95,30+3,1523,1469,C41,5,Mate,White
FALSE,5,10+0,1250,1002,B27,4,Draw,Draw
TRUE,33,10+0,1520,1423,D00,10,Resign,White
FALSE,9,15+30,1413,2108,B00,5,Resign,Black
TRUE,66,15+0,1439,1392,C50,6,Resign,Black
TRUE,119,10+0,1381,1209,B01,4,Mate,White
FALSE,39,20+60,1381,1272,A00,1,Mate,White
FALSE,38,20+60,1381,1867,C02,9,Resign,Black
FALSE,60,5+40,1381,1936,C00,3,Resign,Black
FALSE,31,8+0,1381,1607,C00,2,Resign,Black
FALSE,31,15+15,1094,1141,C50,8,Mate,White
FALSE,43,15+15,1141,1094,C57,7,Resign,Black
FALSE,52,15+15,1094,1141,C50,8,Resign,Black
FALSE,66,15+16,1141,1094,C50,8,Mate,Black
FALSE,101,15+15,1094,1300,C41,5,Resign,Black
FALSE,25,11+0,1500,1094,D00,2,Resign,White
FALSE,14,15+15,1094,1676,C55,6,Resign,Black
FALSE,3,30+60,1094,1068,A40,2,Resign,White
FALSE,17,15+5,1500,1094,B20,3,Resign,White
TRUE,36,10+0,1307,1106,A25,4,Resign,White
TRUE,13,10+0,1113,1423,B21,3,Resign,Black
TRUE,69,10+10,1078,1219,D01,4,Mate,White
TRUE,43,10+10,1825,1079,C45,8,Resign,White
TRUE,54,10+10,1328,1038,D01,4,Mate,Black
TRUE,53,10+10,1056,1156,D10,4,Resign,Black
TRUE,66,10+10,1077,1148,D06,4,Mate,Black
TRUE,64,10+10,1358,1036,B21,3,Resign,Black
TRUE,64,10+10,1200,1002,B52,6,Mate,Black
TRUE,54,10+10,1203,1019,B27,3,Resign,White
FALSE,21,15+3,1019,1500,D20,6,Resign,Black
FALSE,11,18+0,1422,975,B20,3,Resign,White
TRUE,19,10+0,976,1832,B06,4,Resign,Black
TRUE,28,10+0,1569,978,D00,10,Resign,White
FALSE,22,15+0,978,1500,A45,2,Resign,Black
FALSE,37,15+0,1500,978,B77,17,Resign,White
FALSE,34,30+30,2449,978,A21,3,Resign,White
FALSE,32,20+25,1207,978,B70,10,Draw,Draw
FALSE,71,5+5,1241,978,B23,3,Resign,Black
FALSE,30,30+0,1500,978,B21,3,Resign,White
FALSE,66,40+40,2443,978,B76,17,Resign,White
FALSE,41,20+0,1500,978,B21,3,Resign,White
FALSE,49,15+0,1500,978,B20,3,Resign,White
FALSE,3,15+0,978,1500,B01,2,Resign,Black
FALSE,7,10+0,1343,978,B20,3,Resign,White
FALSE,35,40+40,2436,978,B77,17,Mate,White
FALSE,41,40+40,2436,978,B01,4,Mate,White
FALSE,5,10+0,978,1500,C00,3,Resign,Black
FALSE,7,10+0,1500,978,C21,4,Resign,White
FALSE,53,10+0,978,1500,A80,2,Mate,White
FALSE,36,10+0,1500,978,A20,2,Resign,Black
TRUE,8,16+0,1521,1162,A04,2,Resign,White
TRUE,3,6+10,1407,1500,B23,3,Resign,White
TRUE,28,10+0,1492,1458,C26,5,Resign,White
TRUE,30,10+0,1414,1442,C41,8,Resign,Black
TRUE,44,10+0,1457,1294,C44,5,Resign,Black
TRUE,29,10+0,1525,1466,C41,6,Resign,White
TRUE,37,8+10,1207,1579,C00,3,Resign,Black
TRUE,49,8+12,1567,1573,A40,2,Resign,White
TRUE,32,8+12,1578,1605,A40,2,Resign,Black
TRUE,25,8+12,1939,1581,E10,6,Resign,White
TRUE,40,5+10,1618,1568,C00,2,Mate,Black
TRUE,39,7+12,1755,1574,A04,2,Resign,White
TRUE,57,15+10,1561,1596,A45,2,Resign,White
TRUE,78,5+40,1500,1554,C00,3,Resign,Black
TRUE,61,15+5,1544,1461,D00,3,Resign,White
TRUE,44,20+5,1563,1335,D00,3,Resign,Black
TRUE,62,20+5,1579,1470,A41,2,Mate,Black
TRUE,87,20+5,1617,1590,A45,2,Mate,White
TRUE,54,20+5,1207,1588,C02,7,Mate,Black
TRUE,54,15+5,1595,1547,D00,3,Resign,Black
TRUE,37,15+5,1855,1599,C01,5,Resign,White
TRUE,50,15+5,1589,1547,A40,2,Resign,White
TRUE,131,30+0,1571,1728,D02,5,Resign,White
TRUE,48,30+0,1720,1579,C00,3,Resign,White
TRUE,47,15+5,1579,2105,D02,5,Resign,Black
TRUE,64,15+5,1768,1560,C00,3,Mate,Black
TRUE,61,15+5,1552,1436,D00,3,Resign,White
TRUE,57,15+5,1536,1667,D02,5,Mate,White
TRUE,51,15+5,1521,1549,A10,2,Resign,White
TRUE,58,15+5,1251,1545,A00,3,Mate,Black
TRUE,71,15+5,1537,1408,D00,3,Resign,White
TRUE,114,15+5,1522,1512,A40,1,Resign,White
TRUE,39,15+5,1602,1532,C18,11,Resign,White
TRUE,20,15+5,1543,1593,D02,5,Resign,Black
TRUE,48,30+0,1556,1539,D00,3,Resign,Black
TRUE,34,20+10,1409,1548,C00,3,Mate,Black
TRUE,51,20+10,1539,1418,D02,5,Resign,White
TRUE,69,20+10,1603,1550,C00,3,Resign,White
TRUE,28,20+10,1542,1399,D00,4,Resign,White
TRUE,62,20+10,1546,1877,D02,5,Resign,Black
TRUE,62,20+10,1134,1535,A47,4,Mate,Black
TRUE,85,20+10,1513,1784,A40,2,Mate,White
TRUE,38,20+10,1501,1445,D02,5,Resign,White
FALSE,14,45+0,1500,1500,C50,8,Resign,White
TRUE,113,15+0,1745,1714,D06,4,Draw,Draw
TRUE,62,15+0,1734,1748,D06,4,Resign,White
TRUE,101,10+0,1942,1739,C10,6,Resign,White
TRUE,75,10+0,1724,1855,C45,7,Out of Time,White
TRUE,135,10+0,1951,1729,C02,11,Mate,White
TRUE,81,10+0,1726,1388,C41,5,Out of Time,White
TRUE,46,10+0,1735,1806,D80,6,Resign,Black
TRUE,70,10+0,1597,1728,C00,3,Mate,Black
TRUE,39,10+0,1743,1738,C10,10,Resign,White
TRUE,91,10+0,1721,1750,D30,7,Resign,White
TRUE,137,10+0,1746,1487,D20,5,Out of Time,White
TRUE,46,10+0,1744,1735,C02,9,Resign,Black
TRUE,18,10+0,1749,1631,D41,9,Resign,Black
TRUE,28,10+0,1769,1396,D20,5,Resign,Black
TRUE,40,5+8,1795,1760,A46,5,Resign,Black
TRUE,111,15+0,1729,1795,D31,5,Mate,White
TRUE,54,10+0,1795,1784,C64,6,Mate,Black
TRUE,33,10+0,1770,1872,D02,3,Resign,White
TRUE,90,10+0,1783,1721,D02,5,Resign,Black
TRUE,90,10+0,1884,1768,C64,7,Resign,Black
TRUE,40,10+0,1756,1756,C24,5,Mate,Black
TRUE,49,8+0,1724,1958,A43,5,Out of Time,White
TRUE,50,10+0,2036,1706,A08,6,Resign,Black
TRUE,59,10+0,1706,925,D02,5,Mate,White
TRUE,26,15+15,1244,1219,B00,4,Out of Time,Black
TRUE,23,15+15,1215,921,C50,5,Mate,White
TRUE,118,15+15,1350,1201,B03,5,Mate,Black
TRUE,66,15+15,1210,1280,B29,4,Mate,Black
TRUE,120,15+15,1139,1212,C50,8,Draw,Draw
TRUE,36,15+15,1220,1341,C57,11,Mate,Black
TRUE,26,15+15,1234,1359,C55,6,Mate,Black
TRUE,62,15+15,1275,1236,C57,11,Resign,Black
