rated,turns,time_increment,white_rating,black_rating,rank_diff,opening_code,opening_moves,victory_status,winner
FALSE,13,15+2,1500,1191,309,D10,5,Out of Time,White
TRUE,16,5+10,1322,1261,61,B00,4,Resign,Black
TRUE,61,5+10,1496,1500,-4,C20,3,Mate,White
TRUE,61,20+0,1439,1454,-15,D02,3,Mate,White
TRUE,95,30+3,1523,1469,54,C41,5,Mate,White
FALSE,5,10+0,1250,1002,248,B27,4,Draw,Draw
TRUE,33,10+0,1520,1423,97,D00,10,Resign,White
FALSE,9,15+30,1413,2108,-695,B00,5,Resign,Black
TRUE,66,15+0,1439,1392,47,C50,6,Resign,Black
TRUE,119,10+0,1381,1209,172,B01,4,Mate,White
FALSE,39,20+60,1381,1272,109,A00,1,Mate,White
FALSE,38,20+60,1381,1867,-486,C02,9,Resign,Black
FALSE,60,5+40,1381,1936,-555,C00,3,Resign,Black
FALSE,31,8+0,1381,1607,-226,C00,2,Resign,Black
FALSE,31,15+15,1094,1141,-47,C50,8,Mate,White
FALSE,43,15+15,1141,1094,47,C57,7,Resign,Black
FALSE,52,15+15,1094,1141,-47,C50,8,Resign,Black
FALSE,66,15+16,1141,1094,47,C50,8,Mate,Black
FALSE,101,15+15,1094,1300,-206,C41,5,Resign,Black
FALSE,25,11+0,1500,1094,406,D00,2,Resign,White
FALSE,14,15+15,1094,1676,-582,C55,6,Resign,Black
FALSE,3,30+60,1094,1068,26,A40,2,Resign,White
FALSE,17,15+5,1500,1094,406,B20,3,Resign,White
TRUE,36,10+0,1307,1106,201,A25,4,Resign,White
TRUE,13,10+0,1113,1423,-310,B21,3,Resign,Black
TRUE,69,10+10,1078,1219,-141,D01,4,Mate,White
TRUE,43,10+10,1825,1079,746,C45,8,Resign,White
TRUE,54,10+10,1328,1038,290,D01,4,Mate,Black
TRUE,53,10+10,1056,1156,-100,D10,4,Resign,Black
TRUE,66,10+10,1077,1148,-71,D06,4,Mate,Black
TRUE,64,10+10,1358,1036,322,B21,3,Resign,Black
TRUE,64,10+10,1200,1002,198,B52,6,Mate,Black
TRUE,54,10+10,1203,1019,184,B27,3,Resign,White
FALSE,21,15+3,1019,1500,-481,D20,6,Resign,Black
FALSE,11,18+0,1422,975,447,B20,3,Resign,White
TRUE,19,10+0,976,1832,-856,B06,4,Resign,Black
TRUE,28,10+0,1569,978,591,D00,10,Resign,White
FALSE,22,15+0,978,1500,-522,A45,2,Resign,Black
FALSE,37,15+0,1500,978,522,B77,17,Resign,White
FALSE,34,30+30,2449,978,1471,A21,3,Resign,White
FALSE,32,20+25,1207,978,229,B70,10,Draw,Draw
FALSE,71,5+5,1241,978,263,B23,3,Resign,Black
FALSE,30,30+0,1500,978,522,B21,3,Resign,White
FALSE,66,40+40,2443,978,1465,B76,17,Resign,White
FALSE,41,20+0,1500,978,522,B21,3,Resign,White
FALSE,49,15+0,1500,978,522,B20,3,Resign,White
FALSE,3,15+0,978,1500,-522,B01,2,Resign,Black
FALSE,7,10+0,1343,978,365,B20,3,Resign,White
FALSE,35,40+40,2436,978,1458,B77,17,Mate,White
FALSE,41,40+40,2436,978,1458,B01,4,Mate,White
FALSE,5,10+0,978,1500,-522,C00,3,Resign,Black
FALSE,7,10+0,1500,978,522,C21,4,Resign,White
FALSE,53,10+0,978,1500,-522,A80,2,Mate,White
FALSE,36,10+0,1500,978,522,A20,2,Resign,Black
TRUE,8,16+0,1521,1162,359,A04,2,Resign,White
TRUE,3,6+10,1407,1500,-93,B23,3,Resign,White
TRUE,28,10+0,1492,1458,34,C26,5,Resign,White
TRUE,30,10+0,1414,1442,-28,C41,8,Resign,Black
TRUE,44,10+0,1457,1294,163,C44,5,Resign,Black
TRUE,29,10+0,1525,1466,59,C41,6,Resign,White
TRUE,37,8+10,1207,1579,-372,C00,3,Resign,Black
TRUE,49,8+12,1567,1573,-6,A40,2,Resign,White
TRUE,32,8+12,1578,1605,-27,A40,2,Resign,Black
TRUE,25,8+12,1939,1581,358,E10,6,Resign,White
TRUE,40,5+10,1618,1568,50,C00,2,Mate,Black
TRUE,39,7+12,1755,1574,181,A04,2,Resign,White
TRUE,57,15+10,1561,1596,-35,A45,2,Resign,White
TRUE,78,5+40,1500,1554,-54,C00,3,Resign,Black
TRUE,61,15+5,1544,1461,83,D00,3,Resign,White
TRUE,44,20+5,1563,1335,228,D00,3,Resign,Black
TRUE,62,20+5,1579,1470,109,A41,2,Mate,Black
TRUE,87,20+5,1617,1590,27,A45,2,Mate,White
TRUE,54,20+5,1207,1588,-381,C02,7,Mate,Black
TRUE,54,15+5,1595,1547,48,D00,3,Resign,Black
TRUE,37,15+5,1855,1599,256,C01,5,Resign,White
TRUE,50,15+5,1589,1547,42,A40,2,Resign,White
TRUE,131,30+0,1571,1728,-157,D02,5,Resign,White
TRUE,48,30+0,1720,1579,141,C00,3,Resign,White
TRUE,47,15+5,1579,2105,-526,D02,5,Resign,Black
TRUE,64,15+5,1768,1560,208,C00,3,Mate,Black
TRUE,61,15+5,1552,1436,116,D00,3,Resign,White
TRUE,57,15+5,1536,1667,-131,D02,5,Mate,White
TRUE,51,15+5,1521,1549,-28,A10,2,Resign,White
TRUE,58,15+5,1251,1545,-294,A00,3,Mate,Black
TRUE,71,15+5,1537,1408,129,D00,3,Resign,White
TRUE,114,15+5,1522,1512,10,A40,1,Resign,White
TRUE,39,15+5,1602,1532,70,C18,11,Resign,White
TRUE,20,15+5,1543,1593,-50,D02,5,Resign,Black
TRUE,48,30+0,1556,1539,17,D00,3,Resign,Black
TRUE,34,20+10,1409,1548,-139,C00,3,Mate,Black
TRUE,51,20+10,1539,1418,121,D02,5,Resign,White
TRUE,69,20+10,1603,1550,53,C00,3,Resign,White
TRUE,28,20+10,1542,1399,143,D00,4,Resign,White
TRUE,62,20+10,1546,1877,-331,D02,5,Resign,Black
TRUE,62,20+10,1134,1535,-401,A47,4,Mate,Black
TRUE,85,20+10,1513,1784,-271,A40,2,Mate,White
TRUE,38,20+10,1501,1445,56,D02,5,Resign,White
FALSE,14,45+0,1500,1500,0,C50,8,Resign,White
