turns,white_rating,black_rating,rank_diff,opening_code,winner
13,1500,1191,309,D10,White
16,1322,1261,61,B00,Black
61,1496,1500,-4,C20,White
61,1439,1454,-15,D02,White
95,1523,1469,54,C41,White
5,1250,1002,248,B27,Draw
33,1520,1423,97,D00,White
9,1413,2108,-695,B00,Black
66,1439,1392,47,C50,Black
119,1381,1209,172,B01,White
39,1381,1272,109,A00,White
38,1381,1867,-486,C02,Black
60,1381,1936,-555,C00,Black
31,1381,1607,-226,C00,Black
31,1094,1141,-47,C50,White
43,1141,1094,47,C57,Black
52,1094,1141,-47,C50,Black
66,1141,1094,47,C50,Black
101,1094,1300,-206,C41,Black
25,1500,1094,406,D00,White
14,1094,1676,-582,C55,Black
3,1094,1068,26,A40,White
17,1500,1094,406,B20,White
36,1307,1106,201,A25,White
13,1113,1423,-310,B21,Black
69,1078,1219,-141,D01,White
43,1825,1079,746,C45,White
54,1328,1038,290,D01,Black
53,1056,1156,-100,D10,Black
66,1077,1148,-71,D06,Black
64,1358,1036,322,B21,Black
64,1200,1002,198,B52,Black
54,1203,1019,184,B27,White
21,1019,1500,-481,D20,Black
11,1422,975,447,B20,White
19,976,1832,-856,B06,Black
28,1569,978,591,D00,White
22,978,1500,-522,A45,Black
37,1500,978,522,B77,White
34,2449,978,1471,A21,White
32,1207,978,229,B70,Draw
71,1241,978,263,B23,Black
30,1500,978,522,B21,White
66,2443,978,1465,B76,White
41,1500,978,522,B21,White
49,1500,978,522,B20,White
3,978,1500,-522,B01,Black
7,1343,978,365,B20,White
35,2436,978,1458,B77,White
41,2436,978,1458,B01,White
5,978,1500,-522,C00,Black
7,1500,978,522,C21,White
53,978,1500,-522,A80,White
36,1500,978,522,A20,Black
8,1521,1162,359,A04,White
3,1407,1500,-93,B23,White
28,1492,1458,34,C26,White
30,1414,1442,-28,C41,Black
44,1457,1294,163,C44,Black
29,1525,1466,59,C41,White
37,1207,1579,-372,C00,Black
49,1567,1573,-6,A40,White
32,1578,1605,-27,A40,Black
25,1939,1581,358,E10,White
40,1618,1568,50,C00,Black
39,1755,1574,181,A04,White
57,1561,1596,-35,A45,White
78,1500,1554,-54,C00,Black
61,1544,1461,83,D00,White
44,1563,1335,228,D00,Black
62,1579,1470,109,A41,Black
87,1617,1590,27,A45,White
54,1207,1588,-381,C02,Black
54,1595,1547,48,D00,Black
37,1855,1599,256,C01,White
50,1589,1547,42,A40,White
131,1571,1728,-157,D02,White
48,1720,1579,141,C00,White
47,1579,2105,-526,D02,Black
64,1768,1560,208,C00,Black
61,1552,1436,116,D00,White
57,1536,1667,-131,D02,White
51,1521,1549,-28,A10,White
58,1251,1545,-294,A00,Black
71,1537,1408,129,D00,White
114,1522,1512,10,A40,White
39,1602,1532,70,C18,White
20,1543,1593,-50,D02,Black
48,1556,1539,17,D00,Black
34,1409,1548,-139,C00,Black
51,1539,1418,121,D02,White
69,1603,1550,53,C00,White
28,1542,1399,143,D00,White
62,1546,1877,-331,D02,Black
62,1134,1535,-401,A47,Black
85,1513,1784,-271,A40,White
38,1501,1445,56,D02,White
14,1500,1500,0,C50,White
113,1745,1714,31,D06,Draw
62,1734,1748,-14,D06,White
101,1942,1739,203,C10,White
75,1724,1855,-131,C45,White
135,1951,1729,222,C02,White
81,1726,1388,338,C41,White
46,1735,1806,-71,D80,Black
70,1597,1728,-131,C00,Black
39,1743,1738,5,C10,White
91,1721,1750,-29,D30,White
137,1746,1487,259,D20,White
46,1744,1735,9,C02,Black
18,1749,1631,118,D41,Black
28,1769,1396,373,D20,Black
40,1795,1760,35,A46,Black
111,1729,1795,-66,D31,White
54,1795,1784,11,C64,Black
33,1770,1872,-102,D02,White
90,1783,1721,62,D02,Black
90,1884,1768,116,C64,Black
40,1756,1756,0,C24,Black
49,1724,1958,-234,A43,White
50,2036,1706,330,A08,Black
59,1706,925,781,D02,White
26,1244,1219,25,B00,Black
23,1215,921,294,C50,White
118,1350,1201,149,B03,Black
66,1210,1280,-70,B29,Black
120,1139,1212,-73,C50,Draw
36,1220,1341,-121,C57,Black
26,1234,1359,-125,C55,Black
62,1275,1236,39,C57,Black
37,1433,1282,151,B02,White
24,1132,1276,-144,D06,Black
47,1276,1308,-32,C55,White
37,1228,1266,-38,B02,Black
24,1273,1409,-136,B13,Black
9,1338,1277,61,D00,White
47,1263,1336,-73,B57,White
85,1316,1273,43,A20,White
39,1248,1253,-5,B00,White
58,1335,1233,102,E20,Black
95,1223,1189,34,C57,White
2,1443,1204,239,B02,Black
97,1227,1216,11,D06,White
12,1215,1219,-4,C50,Draw
30,1227,1227,0,C50,White
43,1550,1225,325,E11,White
11,1325,1234,91,B02,White
72,1212,1221,-9,B02,Black
156,1226,1478,-252,C40,Black
18,1228,1626,-398,D30,Black
77,1191,1228,-37,C11,White
32,1422,1210,212,B02,Black
35,1186,1223,-37,C28,White
85,1212,1212,0,B06,White
50,1228,1343,-115,B01,Black
111,1865,1862,3,A46,White
65,1852,1852,0,B30,White
73,1833,1863,-30,A56,White
125,1851,1918,-67,B27,White
76,1861,1844,17,C55,Black
65,1853,1774,79,C65,White
41,1910,1862,48,B90,White
59,1851,1890,-39,C00,White
70,1860,1840,20,B50,Black
34,1828,1848,-20,B51,White
69,1855,1858,-3,E00,White
63,1847,1895,-48,C70,White
107,1885,1856,29,B50,White
58,1847,1802,45,A40,White
34,1847,1856,-9,B11,Black
100,1840,1837,3,B22,Black
80,1848,1806,42,B40,Black
44,1860,1820,40,C00,Black
40,1854,1849,5,A45,Black
105,1895,1859,36,B50,White
50,1866,1965,-99,B31,Black
144,1866,1843,23,B50,Draw
81,1835,1866,-31,B18,Black
69,1877,1860,17,C61,Black
77,1849,1874,-25,B90,White
158,1835,1865,-30,E10,Black
107,1866,1835,31,C55,Draw
117,1856,1829,27,C78,White
44,1845,1846,-1,C70,White
40,1834,1835,-1,B30,Black
59,1846,1845,1,B10,White
110,1845,1917,-72,D06,Black
30,1858,1790,68,B01,Black
54,1871,1847,24,B30,Black
69,1846,1869,-23,C41,Black
178,1843,1836,7,B22,Black
136,1800,1826,-26,B20,Black
124,1283,1267,16,B30,Black
96,1290,1270,20,A00,Black
53,1331,1281,50,D00,White
39,1304,1292,12,A00,White
10,1305,1293,12,C00,Black
51,1308,1317,-9,C22,White
18,1296,1305,-9,C54,Black
106,968,1305,-337,C50,Black
38,1293,1466,-173,C41,Black
59,1500,1299,201,C68,White
111,1288,1232,56,B12,White
28,1289,2108,-819,C77,Black
101,1431,1289,142,C22,White
15,1806,1289,517,C45,White
42,1289,1311,-22,C41,White
118,1431,1289,142,A40,Black
34,1289,1484,-195,C50,Black
60,1289,1810,-521,A42,Black
66,1806,1289,517,C44,Black
21,1289,1500,-211,C41,White
73,1409,1297,112,C70,White
159,1280,1485,-205,C55,White
74,1280,1211,69,B01,White
28,1211,1280,-69,A00,Black
112,1281,1765,-484,C41,Black
104,1288,1454,-166,C42,Black
40,1560,1270,290,D07,Black
44,1274,1534,-260,B27,Black
150,1259,1663,-404,C55,Draw
60,1614,1238,376,D02,Black
37,1221,1417,-196,C02,White
88,1222,1732,-510,B32,Black
113,1232,1234,-2,C68,White
55,1240,1219,21,C42,White
135,1590,1600,-10,A22,White
137,1568,1617,-49,C50,Draw
97,1500,1358,142,C46,White
33,1384,1325,59,B07,Black
29,1384,1265,119,A06,Black
55,1384,1950,-566,A04,Black
91,1377,1249,128,B01,White
53,1375,1389,-14,C20,White
49,1378,1361,17,C41,White
48,1261,1371,-110,B07,Black
20,1380,1429,-49,B30,Black
87,1369,1368,1,C42,White
11,1290,1371,-81,C77,White
110,1372,1326,46,B00,Draw
24,1361,1383,-22,A00,White
23,1217,1399,-182,A22,White
81,1387,1447,-60,C60,White
34,1474,1387,87,B01,Black
103,1377,1351,26,C41,White
29,1389,1339,50,C40,Black
22,1389,1400,-11,C41,Black
38,1849,1389,460,C44,White
46,1395,1378,17,C50,Black
23,1370,1257,113,C61,White
31,1360,1332,28,B00,White
51,1311,1360,-49,C21,White
87,1714,1360,354,C64,White
31,1354,1217,137,C50,White
38,1245,1346,-101,D20,Black
43,1346,1099,247,C55,White
105,1336,1287,49,A07,White
87,1580,1555,25,A10,White
36,1555,1580,-25,B40,Black
38,1649,1547,102,C02,Black
110,1426,1527,-101,C00,Black
48,1557,1547,10,C70,Black
95,1557,1607,-50,E20,White
70,1607,1557,50,A02,Black
42,1557,1632,-75,B32,White
177,1535,1609,-74,C58,White
114,1713,1558,155,A00,Black
57,1497,1730,-233,B00,White
57,1437,1552,-115,C50,White
82,1516,1552,-36,A03,Draw
29,1513,1456,57,B54,White
70,1355,1478,-123,C55,Black
97,1638,1614,24,C55,White
99,1613,1934,-321,B12,White
74,1865,1613,252,D03,Black
48,1776,1587,189,D00,Black
77,1568,1593,-25,C10,White
80,1605,1546,59,B01,Black
35,1518,1709,-191,B00,White
33,1728,1527,201,D31,White
87,1515,1379,136,B01,White
40,1538,1501,37,B06,Black
54,1511,1516,-5,D30,Black
67,1464,1495,-31,C69,Black
21,1470,1475,-5,C40,White
14,1490,1440,50,C50,Black
71,1611,1974,-363,D41,White
72,1611,1945,-334,E20,Black
62,1584,1611,-27,A31,Black
48,1942,1611,331,A00,Black
6,1217,1611,-394,C46,Black
69,1611,2059,-448,D46,Draw
72,1611,1478,133,B27,White
40,1486,1552,-66,C44,Black
29,1453,1496,-43,B06,White
44,1340,1326,14,A40,White
59,1532,1500,32,C00,White
115,1560,1557,3,C34,White
70,1571,1577,-6,A03,Black
36,1580,1617,-37,A03,Black
83,1531,1593,-62,C46,White
99,1449,1597,-148,C48,Draw
43,1743,1604,139,C34,White
89,1604,1614,-10,C48,White
96,1550,1605,-55,D00,Black
116,1630,1605,25,C42,Black
78,1475,1605,-130,A00,Black
77,1605,1475,130,A02,White
70,1475,1605,-130,C20,Black
27,1570,1605,-35,C42,White
102,1605,1500,105,A02,Black
21,1500,1605,-105,C47,White
33,1605,1500,105,A02,White
74,1513,1605,-92,C42,Black
65,1790,1874,-84,A00,White
81,1864,1805,59,B24,White
45,1496,1861,-365,A45,Black
52,1851,1853,-2,C67,White
51,1861,1863,-2,B11,White
48,1618,1609,9,C00,Draw
20,1620,1607,13,A00,Black
50,1621,1496,125,B30,Black
98,1633,1581,52,C41,Black
106,1623,1623,0,C60,Black
19,1612,1614,-2,C50,White
22,1605,1624,-19,C50,White
114,1693,1621,72,E61,Draw
69,1631,1684,-53,B50,Black
34,1636,1619,17,C53,Black
40,1613,1617,-4,C57,Black
108,1627,1495,132,C50,Black
27,1480,1643,-163,C23,White
63,1631,1652,-21,B30,White
31,1687,1641,46,C44,White
71,1630,1638,-8,C55,White
92,1414,1624,-210,C60,Black
47,1619,1419,200,C57,White
56,1629,1659,-30,C42,Black
48,1649,1639,10,C23,White
124,1677,1627,50,A00,Black
49,1705,1636,69,C45,White
64,1647,1635,12,B96,Black
29,1637,1627,10,C53,White
45,1626,1631,-5,C50,White
96,1602,1615,-13,C34,Black
92,1634,1603,31,C23,Black
40,1611,1591,20,C50,Black
123,1579,1623,-44,C54,White
129,1995,1581,414,A05,White
120,1589,1569,20,D92,Black
71,1570,1555,15,C55,Draw
97,1559,1557,2,C00,White
60,1546,1571,-25,A45,White
57,1550,1567,-17,B21,White
38,1560,1419,141,B12,White
111,1840,1564,276,C45,White
119,1660,1549,111,A49,Black
33,1534,1678,-144,C41,White
32,1789,1538,251,E10,White
96,1841,1921,-80,C22,Black
92,1926,1737,189,A04,Draw
64,1629,1887,-258,D00,Black
10,1860,1712,148,C37,Black
85,1500,1568,-68,A09,White
40,1780,2132,-352,B90,Black
58,966,1124,-158,B01,Black
